param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,rank_test_score
200,20,5,1,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
50,20,10,1,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
100,20,10,1,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
50,20,10,4,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
200,20,5,4,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
100,20,5,4,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
50,20,5,4,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
200,20,2,4,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
100,20,2,4,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
50,20,2,4,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
200,20,10,2,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
100,20,10,2,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
50,20,10,2,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
200,20,5,2,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
100,20,5,2,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
50,20,5,2,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
200,20,2,2,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
100,20,2,2,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
50,20,2,2,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
200,20,10,1,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
200,10,5,2,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
100,20,10,4,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
100,10,5,2,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
200,10,2,2,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
100,,10,2,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
50,,10,2,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
200,,5,2,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
100,,5,2,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
50,,5,2,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
200,,2,2,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
100,,2,2,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
200,,10,2,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
50,,2,2,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
100,,10,1,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
50,,10,1,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
200,,5,1,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
100,,5,1,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
50,,5,1,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
200,,2,1,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
100,,2,1,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
200,,10,1,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
50,,2,4,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
100,,2,4,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
200,,2,4,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
100,10,2,2,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
50,10,2,2,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
200,10,10,1,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
100,10,10,1,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
50,10,10,1,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
200,10,5,1,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
100,10,5,1,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
50,10,5,1,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
200,10,2,1,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
100,10,2,1,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
50,10,2,1,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
200,,10,4,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
100,,10,4,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
50,,10,4,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
200,,5,4,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
100,,5,4,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
50,,5,4,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
50,10,5,2,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
200,20,10,4,0.9972222222222221,0.005555555555555537,1.0,1.0,0.9861111111111112,1.0,1.0,1
